CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
2356;2800300002356;28;280030;;ICASE INSTITUTO CLINICO AVANCADO DE SERGIPE LTDA;ICASE;;;M;;;M ;MUNICIPAL;4;4;49015160;RIACHUELO;965;SAO JOSE;;-10.7321909585;-37.1863603592;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13173117000119.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2364;2800300002364;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US CANDIDA ALVES SANTO ANTONIO;;;M;;;M ;MUNICIPAL;4;2;49061100;RUA SAO JOAO;S/N;SANTO ANTONIO;(79) 3179-2413;-10.7399223;-37.0807068;1.0;ATENDIMENTO SOMENTE PELA MANHA;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2372;2800300002372;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO;;;M;;;M ;MUNICIPAL;4;5;49030290;AV TARCISIO DANIEL;1;FAROLANDIA;(79) 32120503;-10.9748117695;-37.0745319622;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;;1244.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
2380;2800300002380;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US HUGO GURGEL COROA DO MEIO;;;M;;;M ;MUNICIPAL;4;2;49035710;RUA RENATO FONSECA OLIVEIRA;S/N;COROA DO MEIO;(79)3179-3300;-10.9647865942;-37.0551681519;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2399;2800300002399;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US MANOEL DE SOUZA PEREIRA SOL NASCENTE;;;M;;;M ;MUNICIPAL;4;2;49095240;RUA MARIA DO CARMO COSTA;S/N;JABOTIANA;(79)3179-2902;-10.9420193;-37.0853954;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2410;2800300002410;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US DONA SINHAZINHA GRAGERU;;;M;;;M ;MUNICIPAL;4;2;49026020;AV HERMES FONTES;S/N;GRAGERU;(79)3179-1540;-10.9251799658;-37.0572924614;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2429;2800300002429;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US JOSE MACHADO DE SOUZA SANTOS DUMONT;;;M;;;M ;MUNICIPAL;4;2;49087400;RUA MAJOR AURELIANO;100;SANTOS DUMONT;(79)3245-1578;-10.8948896;-37.0801886;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se,gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2437;2800300002437;28;280030;;CENTRO DE EXAMES E TERAPIA OCULAR LTDA;CENTRO DE EXAMES E TERAPIA OCULAR;;;M;;;M ;MUNICIPAL;4;36;49026010;MINISTRO GERALDO BARRETO SOBRAL;2131;JARDINS;79 40099864;-10.9493938529;-37.0648680622;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;597743000190.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2445;2800300002445;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US HUMBERTO MOURAO GUIMARAES SAO CONRADO;;;M;;;M ;MUNICIPAL;4;2;49042163;RUA A;S/N;SAO CONRADO;37111708 981364575;-10.9250398;-37.1146442;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2453;2800300002453;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US ANTONIO ALVES ATALAIA;;;M;;;M ;MUNICIPAL;4;2;49037220;RUA FIRMINO FONTES;S/N;ATALAIA;(79)3179-2700;-10.9808805;-37.0535561;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2461;2800300002461;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US FERNANDO SAMPAIO CASTELO BRANCO;;;M;;;M ;MUNICIPAL;4;2;49097000;AV SAO JOAO BATISTA;986;PONTO NOVO;(79)3179-1095;-10.931904543;-37.079227791;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2488;2800300002488;28;280030;;LACLISE LABORATORIO CLINICO SERGIPANO LTDA;LACLISE;;;M;;;M ;MUNICIPAL;4;4;49072050;RUA BAHIA;975;CENTRO;;-10.9128237492;-37.0701983891;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13075676000196.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2496;2800300002496;28;280030;;LABORATORIO DE ANALISES CLINICAS DE ARACAJU LTDA;LABORATORIO BIO EXAME;;;M;;;M ;MUNICIPAL;4;39;49010000;RUA SAO CRISTOVAO;167;CENTRO;(79)2144414;-10.9104865;-37.0637235;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13036355000182.0;bioexame @ infonet.com.br;2062.0;;;;;1.0;0.0;;SIM
2526;2800300002526;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US FRANCISCO FONSECA DEZOITO DO FORTE;;;M;;;M ;MUNICIPAL;4;2;49060020;AV ALVARO MARCIEL;296;DEZOITE DE FORTE;31792434 981386426;-10.8826180175;-37.0657253265;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2534;2800300002534;28;280030;;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH;HOSPITAL UNIVERSITARIO DE SERGIPE HUSE;;;M;;;M ;MUNICIPAL;1;5;49060025;CLAUDIO BATISTA;505;PALESTINA;61 32558365;-10.8956986;-37.0597128096;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);15126437001034.0;afonso.sousa@mec.gov.br;2011.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
2542;2800300002542;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO;;;M;;;M ;MUNICIPAL;4;2;49075030;RUA ALAGOAS;2051;JOSE CONRADO DE ARAU;(79) 3179-2261;-10.9050158;-37.0850790998;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2550;2800300002550;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US ELIZABETE PITA TERRA DURA;;;M;;;M ;MUNICIPAL;4;2;49044340;RUA B;14;TERRA DURA;3179-2708;-10.9863784007;-37.0957875252;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2569;2800300002569;28;280030;13128798001680.0;SECRETARIA DE ESTADO DA SAUDE DE SERGIPE;BANCO DE LEITE HUMANO MARLY SARNEY;;;E;;;E ;ESTADUAL;4;36;49085220;RUA MATO GROSSO;S/N;JOSE CONRADO DE ARAU;(79)32266301;-10.90613;-37.07967;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1236.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2577;2800300002577;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US EDEZIO VIEIRA DE MELO SIQUEIRA CAMPOS;;;M;;;M ;MUNICIPAL;4;2;49075420;RUA PARAIBA;S/N;SIQUEIRA CAMPOS;3179-2214;-10.9083455471;-37.0740509033;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2585;2800300002585;28;280030;;SAO LUCAS MEDICO HOSPITALAR S A;HOSPITAL SAO LUCAS;;;M;;;M ;MUNICIPAL;4;5;49015400;STANLEY SILVEIRA;33;SAO JOSE;;-10.9238671;-37.0549436;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);13131370000100.0;;2054.0;1.0;0.0;0.0;1.0;1.0;1.0;;NAO
2593;2800300002593;28;280030;;CLINICA SANTA HELENA LTDA;CLINICA SANTA HELENA SUISSA;;;M;;;M ;MUNICIPAL;4;7;49015240;FREI PAULO;331;BAIRRO SAO JOSE;32161400;-10.9219087;-37.0620133;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);13086053000119.0;;2062.0;1.0;1.0;1.0;1.0;1.0;1.0;;NAO
2607;2800300002607;28;280030;13128780000878.0;SECRETARIA MUNICIPAL SAUDE DE ARACAJU;US AUGUSTO CESAR LEITE SANTA TEREZA;;;M;;;M ;MUNICIPAL;4;2;49037190;RUA ELENITA NERY GOMES;S/N;AEROPORTO;(79)3179-2701;-10.9918472;-37.0780662;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.be;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2615;2800300002615;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US MINISTRO COSTA CAVALVANTE INACIO BARBOSA;;;M;;;M ;MUNICIPAL;4;2;49040490;AV TRANCREDO NEVES;S/N;INACIO BARBOSA;3179-1443;-10.9438884373;-37.0754241943;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2623;2800300002623;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US WALTER CARDOSO VENEZA;;;M;;;M ;MUNICIPAL;4;2;49092520;RUA B;372;VENEZA;31793210 9981382087;-10.8999368294;-37.0972267276;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2631;2800300002631;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US MADRE TEREZA DE CALCUTA JABOTIANA;;;M;;;M ;MUNICIPAL;4;2;49095000;LARGO DA APARECIDA;S/N;JABOTIANA;(79)3179-3590;-10.9347682;-37.0847379;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2666;2800300002666;28;280030;;ARISTOTELES PRIMO DE CARVALHO;CENTRO DE REC MOTORA DE SERGIPE;;;M;;;M ;MUNICIPAL;4;36;49035190;AV DESEMBARGADOR MAYNARD;268;CIRURGIA;(79) 2144155;-10.9184671;-37.0722192;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;5422281000194.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2674;2800300002674;28;280030;;CLIF CLINICA FISIOTERAPICA LTDA;CLIF CLINICA FISIOTERAPICA LTDA;;;M;;;M ;MUNICIPAL;4;36;49010310;SANTA LUZIA;49;CENTRO;;-10.9141010505;-37.0515536045;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13088752000106.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2682;2800300002682;28;280030;;LABORATORIO DE ANALISES MEDICAS LTDA;LAMED;;;M;;;M ;MUNICIPAL;4;4;49095100;AV FARMACEUTICA CEZARTINA REGIS;44;JABOTIANA;(79)2471152;-10.941699181;-37.0806340775;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13037403000157.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2690;2800300002690;28;280030;;GASTROCLINICA DE SERGIPE LTDA;GASTROCLINICA;;;M;;;M ;MUNICIPAL;4;4;49015090;DOM JOSE TOMAS;45;SAO JOSE;;-10.9187310625;-37.049030091;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13181219000186.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2704;2800300002704;28;280030;;CLIMEDI CLINICA DE MEDICINA NUCLEAR ENDOCRINOLOGIA E DIABE;CLIMEDI;;;M;;;M ;MUNICIPAL;4;4;49015040;BARAO DE MAROIM;570;CENTRO;;-10.914142;-37.055453;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13158985000120.0;;2232.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2712;2800300002712;28;280030;;LAPEME LABORATORIO DE PESQUISAS MEDICAS LTDA;LAPEME;;;M;;;M ;MUNICIPAL;4;4;49090250;RUA RADIALISTA JOSE DA SILVA LIMA;594;JARDIM CENTENARIO;(79)252 1303;-10.8968227;-37.0963159;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13157300000120.0;laboratoriolapeme@bol.com.br;2062.0;;;;;1.0;0.0;4.0;NAO
2720;2800300002720;28;280030;;LACLIN LABORATORIO CLINICO LTDA;LACLIN;;;M;;;M ;MUNICIPAL;4;4;49015090;DOM JOSE THOMAZ;565;SAO JOSE;;-10.9210155;-37.0491521;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13355995000155.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;NAO
2739;2800300002739;28;280030;;LABORATORIO CLINICO DE SERGIPE LTDA;LABOHEF;;;M;;;M ;MUNICIPAL;4;36;49010380;RUA SAO CRISTOVAO;27;CENTRO;79 32143206;-10.9102715539;-37.048206018;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13075262000167.0;marcioportofh@hotmail.com;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2747;2800300002747;28;280030;;CLINICA SANTA SOPHIA LTDA;CLINICA SANTA SOPHIA;;;M;;;M ;MUNICIPAL;4;4;49015150;BARAO DE MARUIM;820;CENTRO;079 2591077;-10.9178736463;-37.0544662603;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13032784000181.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2755;2800300002755;28;280030;;GINOCHECKUP LTDA;GINOCHECKUP;;;M;;;M ;MUNICIPAL;4;36;49065390;RUA SANTA LUZIA;200;CENTRO;(79)2140502;-10.9155606254;-37.0519013063;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;3756676000106.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2763;2800300002763;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US DONA JOVEM AZEVEDO INDUSTRIAL;;;M;;;M ;MUNICIPAL;4;2;49050050;RUA ALTAMIRA;S/N;INDUSTRIAL;(79)3179-5400;-10.8686259;-37.0573087;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2771;2800300002771;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US JOSE QUINTILIANO DA FONSECA SOBRAL CIDADE NOVA;;;M;;;M ;MUNICIPAL;4;2;49015250;SANTA TEREZINHA;S/N;CIDADE NOVA;(79)3179-3498;-10.8891360083;-37.0677289775;4.0;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2798;2800300002798;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US JOSE AUGUSTO BARRETO JAPAOZINHO;;;M;;;M ;MUNICIPAL;4;2;49015150;AV EUCLIDES FIGUEIREDO;S/N;JAPAOZINHO;(79)3179-5405;-10.8774202;-37.0775693;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2828;2800300002828;28;280030;;UNIDADE MEDICA HOSPITALAR SANTO ANTONIO LTDA;CLINICA E HOSPITAL SANTO ANTONIO COT;;;M;;;M ;MUNICIPAL;4;62;49035660;AV DESEMBARGADOR MAYNARD;221;CIRURGIA;(79)32145186;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13165899000144.0;chsa@infonet.com.br;2000.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;NAO
2836;2800300002836;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US LAURO DANTAS HORA BUGIO;;;M;;;M ;MUNICIPAL;4;2;49090506;RUA PROJETADA;S/N;BUGIO;(79)31793254;-10.9945519;-37.0869684;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2844;2800300002844;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US ONESIMO PINTO FILHO JARDIM CENTENARIO;;;M;;;M ;MUNICIPAL;4;2;49090250;AV RADIALISTA JOSE DA SILVA LIMA;S/N;JARDIM CENTENARIO;(79)3179-3200;-10.9040261746;-37.0557260513;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2852;2800300002852;28;280030;;CLINICA BIO EXAME LTDA;CLINICA BIO EXAME;;;M;;;M ;MUNICIPAL;4;4;49035740;RUA LUIZ DOS SANTOS MENDONCA NA RUA ATRAS DO HOSP;S/N;FAROLANDIA;79 00000000;-10.9200439;-37.0714466;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32743122000164.0;andreviegass@hotmail.com;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2860;2807400002860;28;280740;;LABORATORIO MEDICO DE ANALISES BIOLOGICAS LTDA;LABMED;;;E;;;E ;ESTADUAL;4;39;49300000;AVENIDA GUMERCINDO BESSA;222;CENTRO;(79)3541-1822;-11.1898425;-38.0044455;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32855041000156.0;;2062.0;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2879;2800300002879;28;280030;;HEMOCLINICA LTDA ME;HEMOCLINICA LABORATORIO;;;M;;;M ;MUNICIPAL;4;4;49075000;RUA PASTOR EUCLIDES ARLINDO;576;PEREIRA LOBO;(79)3211-9719;-10.9190101357;-37.0654892026;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32830200000168.0;hemolab@infonet.com .br;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2887;2800300002887;28;280030;;NICELIA BARRETO DA SILVA;CLILAB LABORATORIO DE ANALISES CLINICAS;;;M;;;M ;MUNICIPAL;4;39;49010450;SIRIRI;797;CENTRO;;-10.6995542;-36.9121759;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32843021000165.0;;2135.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;NAO
2895;2800300002895;28;280030;;CEMISE RESSONANCIA MAGNETICA E TOMOGRAFIA COMPUTADORIZADA;CEMISE RESSONANCIA MAGNETICA E TOMOGRAFIA COMPUTADORIZADA;;;M;;;M ;MUNICIPAL;4;36;49020285;DOUTOR MOACYR RABELO LEITE;138;TREZE DE JULHO;79 33041010;-10.926473631;-37.0515999622;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;32804353000130.0;TRIBUTARIO.GESTAO@ONCOCLINICAS.COM;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2909;2800300002909;28;280030;;CENTRO DIAG DR RICARDO BITTENCOURT DE ALMEIDA LTDA;CLINICA SANTA ANNA SANTA LUZIA;;;M;;;M ;MUNICIPAL;4;4;49015190;RUA SANTA LUZIA;817;SAO JOSE;7902113094/32113094;-10.9212007971;-37.0512361315;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;86951639000178.0;;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
